Autor_x,Autor_y,Trabalhos_Juntos
JAVAM C. MACHADO,PAULO R. P. AMORA,2
JEFERSON NOBRE,KARIN BECKER,2
JOEL DA SILVA,ROBSON  DO NASCIMENTO FIDALGO,2
JOEL DA SILVA,VALÉRIA CESÁRIO TIMES,2
JONAS DIAS,MARTA MATTOSO,2
JORGE AUGUSTO MEIRA,YVES LE TRAON,2
JOSÉ ANTÔNIO FERNANDES DE MACEDO,JOSÉ MARIA MONTEIRO,2
CAETANO TRAINA JÚNIOR,JOÃO VICTOR DE OLIVEIRA NOVAES,2
JOSÉ ANTÔNIO FERNANDES DE MACEDO,MARCO ANTONIO CASANOVA,2
DANIEL DE OLIVEIRA,MARCOS LAGE,2
JOSÉ ANTÔNIO FERNANDES DE MACEDO,TICIANA LINHARES COELHO DA SILVA,2
JOSÉ ANTÔNIO FERNANDES DE MACEDO,VANIA MARIA P. VIDAL,2
JOSÉ MARIA MONTEIRO,MANOEL SIQUEIRA,2
JOSÉ MARIA MONTEIRO,PEDRO HOLANDA,2
CELSO FRANÇA,FABIANO MUNIZ BELÉM,2
JOSÉ SOLENIR LIMA FIGUERÊDO,RODRIGO TRIPODI CALUMBY,2
JOÃO EDUARDO FERREIRA,KELLY R. BRAGHETTO,2
JUAREZ MONTEIRO,ROGER GRANADA,2
JULIANA FREIRE,LUCIANO BARBOSA,2
JURANDY ALMEIDA,NEUCIMAR A. LEITE,2
JURANDY ALMEIDA,RICARDO DA S. TORRES,2
CAETANO TRAINA JÚNIOR,LUCAS C. SCABORA,2
KARIN BECKER,RÉGIS EBELING,2
LARISSA D. GOMIDE,LUCAS L. COSTA,2
LARISSA D. GOMIDE,MARIANA O. SILVA,2
LARISSA D. GOMIDE,MICHELE A. BRANDÃO,2
LEONARDO MURTA,VANESSA BRAGANHOLO,2
LEONARDO ROCHA,MARCOS ANDRÉ GONÇALVES,2
LEONARDO ROCHA,THIAGO SALLES,2
LILIANE KUNSTMANN,MARTA MATTOSO,2
LINAIR M. CAMPOS,MARIA LUIZA MACHADO CAMPOS,2
LOÏC CERF,WAGNER MEIRA JR.,2
LUCAS GABRIEL DA S. FELIX,VINICIUS DA F. VIEIRA,2
LUCAS HENRIQUE G. DE SALES,MARIAMA C. S. DE OLIVEIRA,2
LUCAS L. COSTA,MARIANA O. SILVA,2
LUCAS L. COSTA,MICHELE A. BRANDÃO,2
LUCIANA A. S. ROMANI,SANTIAGO AUGUSTO NUNES,2
LUIZ ANDRÉ P. PAES LEME,MARCO ANTONIO CASANOVA,2
LUIZ ANDRÉ P. PAES LEME,YENIER TORRES IZQUIERDO,2
LUIZ HENRIQUE DE CAMPOS MERSCHMANN,RAFAEL B. PEREIRA,2
LUIZ M. L. PASCOAL,SÁVIO S. T. DE OLIVEIRA,2
LUIZ M. L. PASCOAL,WELLINGTON SANTOS MARTINS,2
LÍVIA ALMADA CRUZ,REGIS PIRES MAGALHÃES,2
LÚCIO F. D. SANTOS,MARCOS VINICIUS NAVES BEDO,2
CELSO FRANÇA,GABRIEL JALLAIS,2
LÚCIO F. D. SANTOS,WILLIAN DENER DE OLIVEIRA,2
MARCELA XAVIER RIBEIRO,MIRELA TEIXEIRA CAZZOLATO,2
MARCELO DE C. CARDOSO,SÁVIO S. T. DE OLIVEIRA,2
MARCELO DE C. CARDOSO,VAGNER JOSÉ DO SACRAMENTO RODRIGUES,2
MARCELO GANEM,MARCOS CARVALHO,2
MARCO A. GUTIERREZ,MIRELA TEIXEIRA CAZZOLATO,2
MARCO ANTONIO CASANOVA,VANIA MARIA P. VIDAL,2
MARCO ANTONIO CASANOVA,YENIER TORRES IZQUIERDO,2
MARCOS ANDRÉ GONÇALVES,RICARDO DA S. TORRES,2
MARCOS ANDRÉ GONÇALVES,THIAGO CARDOSO,2
CAETANO TRAINA JÚNIOR,LUCIANA A. S. ROMANI,2
